comparison	log_odds_ratio	norm_interactions	interactions_counts	expected_counts	condition	mouse
M_vs_M	1.01077242642956	0.00179984337191803	2348	229.047567890962	UNT	999
DC_vs_M	-4.02532818753697	7.66543141083356e-11	0	1.06005448426729	UNT	999
Endo_vs_M	0.0742019308256085	0.000838598272999506	1094	922.179430398472	UNT	999
M_vs_Mo	0.632318126501213	0.00158827746497903	2072	483.138498792205	UNT	999
Lymp_Ves_vs_M	-0.0499313517371976	2.29970607756418e-06	3	3.36563552185679	UNT	999
M_vs_NK	0.18093374094003	0.000118814263522234	155	102.187608960607	UNT	999
M_vs_Treg	0.231505433545569	0.0001019503144184	133	78.0452603945833	UNT	999
M_vs_S	0.446406593781437	1.14982237705645e-05	15	5.36645584758101	UNT	999
M_vs_Tumor	-0.207635069183118	0.00675861095158626	8817	14221.8441429391	UNT	999
DC_vs_DC	-1.69073069043158	7.66543141083356e-11	0	0.00490603554520228	UNT	999
DC_vs_Endo	0.0687607563745443	3.83279235973089e-06	5	4.26793634830614	UNT	999
DC_vs_Mo	0.604773186480017	6.89896492406431e-06	9	2.2360120951411	UNT	999
DC_vs_Lymp_Ves	-2.19246958559292	7.66543141083356e-11	0	0.0155764894611411	UNT	999
DC_vs_NK	-3.67480074031476	7.66543141083356e-11	0	0.472934221099485	UNT	999
DC_vs_Treg	-3.5577490368532	7.66543141083356e-11	0	0.361201077221091	UNT	999
DC_vs_S	-2.39509006345574	7.66543141083356e-11	0	0.0248364810778467	UNT	999
DC_vs_Tumor	-0.0624828002036776	4.36930356960654e-05	57	65.8200818157125	UNT	999
Endo_vs_Endo	0.955754281684909	0.0257037246834614	33532	3712.83096205976	UNT	999
Endo_vs_Mo	0.127845496696784	0.00200144421802296	2611	1945.18714921202	UNT	999
Endo_vs_Lymp_Ves	-0.286852584748778	5.3658786418976e-06	7	13.5505470634479	UNT	999
Endo_vs_NK	0.213727145107656	0.000515883610603413	673	411.422447715903	UNT	999
Endo_vs_Treg	0.260918417574606	0.000439229296495077	573	314.221776894131	UNT	999
Endo_vs_S	0.450753240179929	4.67592082603988e-05	61	21.6061460173927	UNT	999
Endo_vs_Tumor	-0.377978370236452	0.0183824711429743	23981	57259.2507823302	UNT	999
Mo_vs_Mo	0.749026552195275	0.00438309375736894	5718	1019.10188859244	UNT	999
Lymp_Ves_vs_Mo	-0.00610879941126608	5.3658786418976e-06	7	7.09925937430471	UNT	999
Mo_vs_NK	0.187594016205677	0.000254492399493988	332	215.548099650179	UNT	999
Mo_vs_Treg	0.358695465583128	0.000288220297701656	376	164.623751703995	UNT	999
Mo_vs_S	0.0922976163196912	1.07316806294811e-05	14	11.3196636223145	UNT	999
Mo_vs_Tumor	-0.164184392561603	0.0157562943416227	20555	29998.6613808853	UNT	999
Lymp_Ves_vs_Lymp_Ves	2.90785259630854	3.06618022976484e-05	40	0.0494548035165196	UNT	999
Lymp_Ves_vs_NK	0.124512074369115	1.53316293648082e-06	2	1.50154943699361	UNT	999
Lymp_Ves_vs_Treg	0.542582916539746	3.06624921864753e-06	4	1.14680065418384	UNT	999
Lymp_Ves_vs_S	-2.89682895861709	7.66543141083356e-11	0	0.0788549496220493	UNT	999
Lymp_Ves_vs_Tumor	-0.0973805817529116	0.000128012781215235	167	208.976433474173	UNT	999
NK_vs_NK	1.1192805325681	0.000459925961304328	600	45.5901257596278	UNT	999
NK_vs_Treg	0.333242755714235	5.74908122355658e-05	75	34.8192239012423	UNT	999
NK_vs_S	0.398998375225761	4.59933550081424e-06	6	2.39419827377529	UNT	999
NK_vs_Tumor	-0.117134677328281	0.00371390159520317	4845	6344.95385111094	UNT	999
Treg_vs_Treg	1.17511579791806	0.00030508424680549	398	26.5930030436209	UNT	999
S_vs_Treg	0.0389432999678585	1.53316293648082e-06	2	1.82855660890438	UNT	999
Treg_vs_Tumor	-0.13197924194869	0.0027411583491684	3576	4845.92584696315	UNT	999
S_vs_S	3.01449424989948	9.96506849951504e-05	130	0.125733045887421	UNT	999
S_vs_Tumor	-0.415507481879511	9.81175987129837e-05	128	333.209819108814	UNT	999
Tumor_vs_Tumor	0.0366830088475584	0.73655597348083	960880	883051.728898239	UNT	999
N_vs_N	2.20303723220769	0.000151006709216974	222	1.39096415326385	Ad-IL12	1017
B_vs_N	-0.0696438161703426	6.80278116486864e-07	1	1.17405175872418	Ad-IL12	1017
CD8_vs_N	-0.0956691574295907	4.08126737496485e-05	60	74.7861423146569	Ad-IL12	1017
CD4_vs_N	-0.16764264193613	8.57065400511514e-05	126	185.358937658564	Ad-IL12	1017
M_vs_N	-0.105798209926723	6.1219588803054e-06	9	11.4827403566229	Ad-IL12	1017
DC_vs_N	-3.882296288408	6.80210095477317e-11	0	0.762599100023376	Ad-IL12	1017
Endo_vs_N	-0.194197305876996	4.08126737496485e-05	60	93.8316341760323	Ad-IL12	1017
Mo_vs_N	0.423164828607244	3.06095223174888e-05	45	16.9843390270998	Ad-IL12	1017
Lymp_Ves_vs_N	-2.75141723323351	6.80210095477317e-11	0	0.0564179411184469	Ad-IL12	1017
N_vs_NK	0.761097375637634	1.97261607898517e-05	29	5.02692169043551	Ad-IL12	1017
N_vs_Treg	-0.476871779423798	2.72090840291881e-06	4	11.9934085500458	Ad-IL12	1017
N_vs_S	-3.29333366999512	6.80210095477317e-11	0	0.196486931314466	Ad-IL12	1017
N_vs_Tumor	-0.0700406318579383	0.000594503691468184	874	1026.9566563421	Ad-IL12	1017
B_vs_B	2.15006979686511	9.52294813878339e-05	140	0.990965532022504	Ad-IL12	1017
B_vs_CD8	0.108293117831423	5.50970857546722e-05	81	63.1236985559215	Ad-IL12	1017
B_vs_CD4	0.268013310347776	0.000197260995709431	290	156.453339392423	Ad-IL12	1017
B_vs_M	0.444948522244452	1.83657405988971e-05	27	9.69207687993448	Ad-IL12	1017
B_vs_DC	-3.80866759398415	6.80210095477317e-11	0	0.643676411417979	Ad-IL12	1017
B_vs_Endo	0.0457625800060164	5.98585564230134e-05	88	79.1991618690105	Ad-IL12	1017
B_vs_Mo	0.223793095426146	1.63251103124651e-05	24	14.335734719507	Ad-IL12	1017
B_vs_Lymp_Ves	-2.67778853880967	6.80210095477317e-11	0	0.0476199065506366	Ad-IL12	1017
B_vs_NK	-0.150537694440951	2.0406983074415e-06	3	4.24300384576843	Ad-IL12	1017
B_vs_Treg	0.426051439099842	1.83657405988971e-05	27	10.1231094764295	Ad-IL12	1017
B_vs_S	1.08134673427395	1.36048821196418e-06	2	0.165845990160688	Ad-IL12	1017
B_vs_Tumor	-0.218592049894593	0.000356430158051123	524	866.809015662129	Ad-IL12	1017
CD8_vs_CD8	0.373854196101642	0.00646879807601029	9510	4020.9282670473	Ad-IL12	1017
CD4_vs_CD8	0.0359091835399272	0.00736327435156296	10825	9965.9504944823	Ad-IL12	1017
CD8_vs_M	-0.274676762480687	0.000223108979337569	328	617.377415843266	Ad-IL12	1017
CD8_vs_DC	0.158051265560145	4.01324636541712e-05	59	41.0016639821768	Ad-IL12	1017
CD8_vs_Endo	0.0669657912921327	0.0040037166900005	5886	5044.92220783671	Ad-IL12	1017
CD8_vs_Mo	0.110959997899328	0.000801967770588766	1179	913.174644091729	Ad-IL12	1017
CD8_vs_Lymp_Ves	-0.180870717154006	1.36048821196418e-06	2	3.033349323693	Ad-IL12	1017
CD8_vs_NK	0.115967514825767	0.000240114231724502	353	270.275894647181	Ad-IL12	1017
CD8_vs_Treg	0.181778298264445	0.00066660596158878	980	644.833841732665	Ad-IL12	1017
CD8_vs_S	-0.722787153915611	1.36048821196418e-06	2	10.5642547104997	Ad-IL12	1017
CD8_vs_Tumor	-0.0642679159676389	0.0323916048146508	47620	55215.0294254319	Ad-IL12	1017
CD4_vs_CD4	0.4722269210106	0.049840354183835	73272	24700.8060483024	Ad-IL12	1017
CD4_vs_M	-0.146918348298799	0.000742109282186762	1091	1530.18217537702	Ad-IL12	1017
CD4_vs_DC	0.0899164781748366	8.50263299556741e-05	125	101.623437748576	Ad-IL12	1017
CD4_vs_Endo	0.10658425510307	0.0108711178139395	15982	12503.9397951596	Ad-IL12	1017
CD4_vs_Mo	0.177243320044365	0.0023154352330258	3404	2263.32147489853	Ad-IL12	1017
CD4_vs_Lymp_Ves	0.203070038059047	8.16258916673735e-06	12	7.51821648750647	Ad-IL12	1017
CD4_vs_NK	-0.0716513015152774	0.000386359402252125	568	669.884167787875	Ad-IL12	1017
CD4_vs_Treg	0.249983867033989	0.00193315715936754	2842	1598.2334717435	Ad-IL12	1017
CD4_vs_S	-0.0563015396054206	1.56449002169878e-05	23	26.1837149194542	Ad-IL12	1017
CD4_vs_Tumor	-0.222430558888236	0.0557779081072565	82001	136851.546026042	Ad-IL12	1017
M_vs_M	1.73113552242609	0.00347179239533723	5104	94.7927563684699	Ad-IL12	1017
DC_vs_M	-0.497974185525206	1.36048821196418e-06	2	6.29543719096953	Ad-IL12	1017
Endo_vs_M	-0.194473600376787	0.000336704065282281	495	774.602487025142	Ad-IL12	1017
M_vs_Mo	0.76384620101402	0.000553691085739545	814	140.209763651651	Ad-IL12	1017
Lymp_Ves_vs_M	0.331896587080915	6.80278116486864e-07	1	0.465743540405585	Ad-IL12	1017
M_vs_NK	0.485772336131629	8.63867501466288e-05	127	41.4984357640719	Ad-IL12	1017
M_vs_Treg	-0.342458756067406	3.06095223174888e-05	45	99.0084439256959	Ad-IL12	1017
M_vs_S	1.09096889017341	1.36042699305559e-05	20	1.62204641324471	Ad-IL12	1017
M_vs_Tumor	-0.355177926375279	0.00254534624529713	3742	8477.77177766351	Ad-IL12	1017
DC_vs_DC	1.15688184961974	4.08132859387345e-06	6	0.418096602987114	Ad-IL12	1017
DC_vs_Endo	0.326097265754622	7.41429684280371e-05	109	51.4433960130902	Ad-IL12	1017
DC_vs_Mo	0.0309753421202788	6.80216897578271e-06	10	9.31170053963377	Ad-IL12	1017
DC_vs_Lymp_Ves	-2.49039758377046	6.80210095477317e-11	0	0.0309312580206646	Ad-IL12	1017
DC_vs_NK	0.337876018201821	4.08132859387345e-06	6	2.75602066956137	Ad-IL12	1017
DC_vs_Treg	0.483109188615919	1.36042699305559e-05	20	6.57541213051138	Ad-IL12	1017
DC_vs_S	-3.03231402053207	6.80210095477317e-11	0	0.107724384295002	Ad-IL12	1017
DC_vs_Tumor	-0.100224844430205	0.00030405398069937	447	563.031203968736	Ad-IL12	1017
Endo_vs_Endo	0.724361679191397	0.0228237696116669	33554	6329.69264627387	Ad-IL12	1017
Endo_vs_Mo	0.0477885859554379	0.000869988780136498	1279	1145.72922858799	Ad-IL12	1017
Endo_vs_Lymp_Ves	0.460946057825295	7.48237907126003e-06	11	3.80584043058863	Ad-IL12	1017
Endo_vs_NK	0.118024646536144	0.000302693560508415	445	339.105990604945	Ad-IL12	1017
Endo_vs_Treg	0.139298936143139	0.000758434324478218	1115	809.051132591	Ad-IL12	1017
Endo_vs_S	-0.0809703789363105	7.48237907126003e-06	11	13.2546117857955	Ad-IL12	1017
Endo_vs_Tumor	-0.267365628121199	0.025460263941737	37430	69276.4231676462	Ad-IL12	1017
Mo_vs_Mo	1.18537254387631	0.00216170775144792	3178	207.386920439744	Ad-IL12	1017
Lymp_Ves_vs_Mo	-3.83814994562834	6.80210095477317e-11	0	0.688890103255518	Ad-IL12	1017
Mo_vs_NK	0.573693192620495	0.000156448389980792	230	61.3811233400225	Ad-IL12	1017
Mo_vs_Treg	0.01901637429719	0.000104072212629039	153	146.445267066388	Ad-IL12	1017
Mo_vs_S	-0.0790146725447192	1.36048821196418e-06	2	2.39919961129748	Ad-IL12	1017
Mo_vs_Tumor	-0.244404170373065	0.00485874078001548	7143	12539.6330139232	Ad-IL12	1017
Lymp_Ves_vs_Lymp_Ves	2.94153318124925	1.36048821196418e-06	2	0.00228832933801765	Ad-IL12	1017
Lymp_Ves_vs_NK	-3.30940341518838	6.80210095477317e-11	0	0.203893516071249	Ad-IL12	1017
Lymp_Ves_vs_Treg	-3.68704392334056	6.80210095477317e-11	0	0.486456402056259	Ad-IL12	1017
Lymp_Ves_vs_S	-1.90143496535758	6.80210095477317e-11	0	0.00796957139077407	Ad-IL12	1017
Lymp_Ves_vs_Tumor	-0.142530707179724	2.0406370885329e-05	30	41.6536831900047	Ad-IL12	1017
NK_vs_NK	1.07516565043236	0.00014692544864411	216	18.1672127369177	Ad-IL12	1017
NK_vs_Treg	0.169251842635523	4.35335141315578e-05	64	43.3439822593644	Ad-IL12	1017
NK_vs_S	0.148723575326873	6.80278116486864e-07	1	0.710100554780034	Ad-IL12	1017
NK_vs_Tumor	-0.0745493085615061	0.0021263368264831	3126	3711.40455258301	Ad-IL12	1017
Treg_vs_Treg	0.779221136427941	0.0004230907474079	622	103.411614390488	Ad-IL12	1017
S_vs_Treg	-0.2289169328253	6.80278116486864e-07	1	1.69418315811347	Ad-IL12	1017
Treg_vs_Tumor	-0.137148011158038	0.00439211665451804	6457	8854.80097657374	Ad-IL12	1017
S_vs_S	2.85768076501177	1.36042699305559e-05	20	0.0277556499833481	Ad-IL12	1017
S_vs_Tumor	-0.0823882383473102	8.16252794782876e-05	120	145.067406319671	Ad-IL12	1017
Tumor_vs_Tumor	0.0578619760194821	0.589241518216583	866264	758207.874394654	Ad-IL12	1017
N_vs_N	1.96281195447806	0.00124727874608395	1210	13.1817615644688	Ad-IL12	1014
B_vs_N	-3.82902995859706	1.0308087958703e-10	0	0.674574559742978	Ad-IL12	1014
CD8_vs_N	-0.289315532647096	5.56637780578759e-05	54	105.125989521697	Ad-IL12	1014
CD4_vs_N	-0.41823323489767	2.98935581611184e-05	29	75.9683563924954	Ad-IL12	1014
M_vs_N	-0.0698985356079209	3.0925294684905e-06	3	3.52398674796963	Ad-IL12	1014
DC_vs_N	-0.0229003636390562	1.03091187674989e-06	1	1.05425043993359	Ad-IL12	1014
Endo_vs_N	-0.414913202390761	0.000119573923401835	116	301.55849417682	Ad-IL12	1014
Mo_vs_N	0.123800825769379	6.1849558561014e-06	6	4.51188127118404	Ad-IL12	1014
Lymp_Ves_vs_N	-4.84096487942617	1.0308087958703e-10	0	6.933697322497	Ad-IL12	1014
N_vs_NK	0.021809092633679	9.27738224371231e-06	9	8.55929987748788	Ad-IL12	1014
N_vs_Treg	-0.349740023345089	3.1955175752859e-05	31	69.3590471383034	Ad-IL12	1014
N_vs_S	-0.953566289307195	1.03091187674989e-06	1	8.98689601440158	Ad-IL12	1014
N_vs_Tumor	-0.148199404572502	0.00218119151514244	2116	2976.563064973	Ad-IL12	1014
B_vs_B	2.60804467230696	1.44314262230638e-05	14	0.0345212462254677	Ad-IL12	1014
B_vs_CD8	0.415364534185667	1.44314262230638e-05	14	5.37980585920283	Ad-IL12	1014
B_vs_CD4	0.711342929903165	2.06162789982856e-05	20	3.88766860310984	Ad-IL12	1014
B_vs_M	0.743952653841245	1.03091187674989e-06	1	0.180339463540244	Ad-IL12	1014
B_vs_DC	1.74513543317863	3.0925294684905e-06	3	0.0539510992441248	Ad-IL12	1014
B_vs_Endo	0.343052121501202	3.50476021404699e-05	34	15.432208165137	Ad-IL12	1014
B_vs_Mo	-3.36341416966189	1.0308087958703e-10	0	0.230894809258691	Ad-IL12	1014
B_vs_Lymp_Ves	-3.55002138629274	1.0308087958703e-10	0	0.354830862008766	Ad-IL12	1014
B_vs_NK	-3.64149474913965	1.0308087958703e-10	0	0.43802081522457	Ad-IL12	1014
B_vs_Treg	0.404087709913143	9.27738224371231e-06	9	3.54943824910545	Ad-IL12	1014
B_vs_S	0.638385486394595	2.06172067262019e-06	2	0.459902979789271	Ad-IL12	1014
B_vs_Tumor	-0.248272639089679	8.86496595257256e-05	86	152.325143288411	Ad-IL12	1014
CD8_vs_CD8	0.660884493971053	0.00395830587922284	3840	838.391258927412	Ad-IL12	1014
CD4_vs_CD8	0.180000007681283	0.000945251768893947	917	605.855947176652	Ad-IL12	1014
CD8_vs_M	-0.147738744425952	2.06162789982856e-05	20	28.1041795612682	Ad-IL12	1014
CD8_vs_DC	0.376351731227173	2.06162789982856e-05	20	8.40776251031892	Ad-IL12	1014
CD8_vs_Endo	0.0457282590598611	0.00275432120564633	2672	2404.96195777523	Ad-IL12	1014
CD8_vs_Mo	0.142876565140932	5.15405428743947e-05	50	35.982746381648	Ad-IL12	1014
CD8_vs_Lymp_Ves	-0.224186268494262	3.40167933445996e-05	33	55.2969941465341	Ad-IL12	1014
CD8_vs_NK	0.10534486454644	8.96804683215959e-05	87	68.2613522352933	Ad-IL12	1014
CD8_vs_Treg	0.131642112567791	0.000772075891187736	749	553.14598333732	Ad-IL12	1014
CD8_vs_S	-0.378223659206405	3.09243669569887e-05	30	71.6714781724726	Ad-IL12	1014
CD8_vs_Tumor	-0.0737057402546819	0.0206501927107507	20033	23738.415844395	Ad-IL12	1014
CD4_vs_CD4	0.888907702022173	0.00349444192108121	3390	437.816383246785	Ad-IL12	1014
CD4_vs_M	0.44818207239219	5.87562044454869e-05	57	20.309234079442	Ad-IL12	1014
CD4_vs_DC	0.295581795606576	1.23698086313232e-05	12	6.07579440396652	Ad-IL12	1014
CD4_vs_Endo	0.284754617652935	0.00345114795165465	3348	1737.92425593249	Ad-IL12	1014
CD4_vs_Mo	0.348411800919837	5.97870132413572e-05	58	26.0026099496322	Ad-IL12	1014
CD4_vs_Lymp_Ves	0.583067556613206	0.000157713848849036	153	39.9598784075238	Ad-IL12	1014
CD4_vs_NK	0.0627780966881529	5.87562044454869e-05	57	49.3284558655607	Ad-IL12	1014
CD4_vs_Treg	0.494104091547908	0.00128541867153115	1247	399.725999160027	Ad-IL12	1014
CD4_vs_S	0.508447735989291	0.00017214517199122	167	51.7927528840012	Ad-IL12	1014
CD4_vs_Tumor	-0.186943723041533	0.0114976414122182	11154	17154.3539638983	Ad-IL12	1014
M_vs_M	1.83208557116089	6.5971866016579e-05	64	0.942095829842606	Ad-IL12	1014
DC_vs_M	-3.45000460575447	1.0308087958703e-10	0	0.281841282077299	Ad-IL12	1014
Endo_vs_M	0.491507801541929	0.000257702302048455	250	80.6180670177839	Ad-IL12	1014
M_vs_Mo	0.918585865289239	1.03081910395826e-05	10	1.20619764894873	Ad-IL12	1014
Lymp_Ves_vs_M	0.0330260155805026	2.06172067262019e-06	2	1.85364128757829	Ad-IL12	1014
M_vs_NK	0.24257179144266	4.1233382643608e-06	4	2.28822674364471	Ad-IL12	1014
M_vs_Treg	-0.092069778623021	1.54622350189341e-05	15	18.5423140732581	Ad-IL12	1014
M_vs_S	0.999542519845566	2.47395141817669e-05	24	2.40253947131751	Ad-IL12	1014
M_vs_Tumor	-0.196625300629778	0.000521589353791253	506	795.748636793329	Ad-IL12	1014
DC_vs_DC	1.67615671845295	4.1233382643608e-06	4	0.08431680277817	Ad-IL12	1014
DC_vs_Endo	0.261111758323238	4.53556900991729e-05	44	24.1180341183357	Ad-IL12	1014
DC_vs_Mo	-3.55732800198074	1.0308087958703e-10	0	0.36085107379695	Ad-IL12	1014
DC_vs_Lymp_Ves	1.51133969923213	1.8554661406545e-05	18	0.554542988572364	Ad-IL12	1014
DC_vs_NK	-3.83540858145851	1.0308087958703e-10	0	0.684555369722985	Ad-IL12	1014
DC_vs_Treg	0.3698732357083	1.34006174271935e-05	13	5.54719531234959	Ad-IL12	1014
DC_vs_S	0.143463371507377	1.03091187674989e-06	1	0.718753637780744	Ad-IL12	1014
DC_vs_Tumor	-0.146236250799851	0.000175237598378831	170	238.059450961123	Ad-IL12	1014
Endo_vs_Endo	0.750330599137718	0.0400201207939495	38824	6898.73845505686	Ad-IL12	1014
Endo_vs_Mo	0.387644936046456	0.000259763919640196	252	103.218080177563	Ad-IL12	1014
Endo_vs_Lymp_Ves	-0.0864193073256058	0.000134005246544019	130	158.621843781947	Ad-IL12	1014
Endo_vs_NK	0.0641896919603321	0.000233993699743438	227	195.810671406808	Ad-IL12	1014
Endo_vs_Treg	0.324284229887115	0.00345114795165465	3348	1586.72342162098	Ad-IL12	1014
Endo_vs_S	0.356309142699899	0.000481387810752311	467	205.592766655071	Ad-IL12	1014
Endo_vs_Tumor	-0.326662290045351	0.0330848392153341	32096	68094.683044115	Ad-IL12	1014
Mo_vs_Mo	2.13759419192446	0.000218531567805384	212	1.54433627900944	Ad-IL12	1014
Lymp_Ves_vs_Mo	-4.37534909049099	1.0308087958703e-10	0	2.37328060718066	Ad-IL12	1014
Mo_vs_NK	0.533181889585202	1.03081910395826e-05	10	2.9296952932134	Ad-IL12	1014
Mo_vs_Treg	0.30575481296295	4.94789252826541e-05	48	23.7403615776215	Ad-IL12	1014
Mo_vs_S	0.290164560915811	6.1849558561014e-06	6	3.07605380473222	Ad-IL12	1014
Mo_vs_Tumor	-0.250703194806159	0.000589622734318693	572	1018.82431112621	Ad-IL12	1014
Lymp_Ves_vs_Lymp_Ves	2.53564805644062	0.0012905727155105	1252	3.64717252128051	Ad-IL12	1014
Lymp_Ves_vs_NK	-4.65342966996876	1.0308087958703e-10	0	4.50225065540232	Ad-IL12	1014
Lymp_Ves_vs_Treg	0.3129672966279	7.73107627711523e-05	75	36.4833362431691	Ad-IL12	1014
Lymp_Ves_vs_S	0.604154742427507	1.95854702024153e-05	19	4.727169166872	Ad-IL12	1014
Lymp_Ves_vs_Tumor	-0.895853221507558	0.00020513105345907	199	1565.69266200943	Ad-IL12	1014
NK_vs_NK	1.65649768030492	0.000259763919640196	252	5.55780151495378	Ad-IL12	1014
NK_vs_Treg	-0.0101142451516552	4.53556900991729e-05	44	45.036839785797	Ad-IL12	1014
NK_vs_S	0.233929835796456	1.03081910395826e-05	10	5.83545208118501	Ad-IL12	1014
NK_vs_Tumor	-0.0761290023521723	0.00167197196998251	1622	1932.76867835571	Ad-IL12	1014
Treg_vs_Treg	1.02412945004125	0.00397686043754851	3858	364.949509699865	Ad-IL12	1014
S_vs_Treg	-0.243374010326521	2.78319405693778e-05	27	47.2867409444021	Ad-IL12	1014
Treg_vs_Tumor	-0.223940252058866	0.00964012396205995	9352	15661.9111128578	Ad-IL12	1014
S_vs_S	2.14926781130683	0.000890618902712821	864	6.12697321057346	Ad-IL12	1014
S_vs_Tumor	-0.393537447967076	0.000845263315694528	820	2029.3238209774	Ad-IL12	1014
Tumor_vs_Tumor	0.0351325695039616	0.75122046465189	728768	672135.331566249	Ad-IL12	1014
N_vs_N	2.24916221250272	0.000379110323863084	490	2.76079370579828	Ad-IL12+Ad-CCL5	1023
B_vs_N	-5.10241994392946	7.73694380599277e-11	0	12.6595988412801	Ad-IL12+Ad-CCL5	1023
CD8_vs_N	-0.188675032545915	0.000198839533183452	257	396.833497662759	Ad-IL12+Ad-CCL5	1023
CD4_vs_N	-0.0939814106602823	4.64217402053947e-05	60	74.4960738571126	Ad-IL12+Ad-CCL5	1023
M_vs_N	0.353477417070441	3.86854927243444e-06	5	2.21565059114677	Ad-IL12+Ad-CCL5	1023
DC_vs_N	0.0121732117963649	2.32116051123589e-06	3	2.91717524270904	Ad-IL12+Ad-CCL5	1023
Endo_vs_N	0.142416704522393	0.00011528054007873	149	107.342042647134	Ad-IL12+Ad-CCL5	1023
Mo_vs_N	1.09461100990759	2.70793806904127e-05	35	2.8148695643562	Ad-IL12+Ad-CCL5	1023
Lymp_Ves_vs_N	-0.922310526068533	3.86854927243444e-06	5	41.8108711330739	Ad-IL12+Ad-CCL5	1023
N_vs_NK	0.677215433080353	1.23791874590265e-05	16	3.36439720807998	Ad-IL12+Ad-CCL5	1023
N_vs_Treg	0.0587185340801536	2.55319919292142e-05	33	28.8268190404089	Ad-IL12+Ad-CCL5	1023
N_vs_S	-0.0501486881909822	2.32116051123589e-06	3	3.36732022746149	Ad-IL12+Ad-CCL5	1023
