Patient	Tissue	Barcoding.emulsion	Library	Barcode	Total.counts	Percent.counts.from.mitochondrial.genes	Most.likely.LM22.cell.type	Major.cell.type	Minor.subset	used_in_NSCLC_all_cells	x_NSCLC_all_cells	y_NSCLC_all_cells	used_in_NSCLC_and_blood_immune	x_NSCLC_and_blood_immune	y_NSCLC_and_blood_immune	used_in_NSCLC_immune	x_NSCLC_immune	y_NSCLC_immune	used_in_NSCLC_non_immune	x_NSCLC_non_immune	y_NSCLC_non_immune	used_in_blood	x_blood	y_blood	cellID	cellID_new	sizeFactor	UMAP1	UMAP2	clust	CCL5
p1	tumor	p1t	p1t2	bcHCHL	540	15	NK cells resting	tNK cells	tNK2	True	-174.823395343938	-518.737380568583	True	362.154067055897	-937.22787040568	True	424.305168069162	944.114046470741	False	NA	NA	False	NA	NA	9985	11	1.01753276515645	2.03746697088135	-0.021314121094302	4	3.01394904762363
p4	tumor	p4t	p4t1	bcCSOZ	730	6.98630136986301	T cells follicular helper	tNK cells	tNK1	True	-136.634910611797	-279.372304090491	True	545.053203234983	-1386.65644410421	True	614.373539861021	688.686304535041	False	NA	NA	False	NA	NA	33187	12	0.90829500105024	-0.50345718334066	-0.586467913594798	2	0
p3	tumor	p3t	p3t2	bcCXLB	1556	12.6606683804627	T cells CD4 memory resting	tNK cells	tNK1	True	-32.2275496542696	-49.1282080709533	True	541.033517672815	-1287.96998331844	True	634.457547379952	650.050945232366	False	NA	NA	False	NA	NA	27163	13	0.868883058252035	-0.83019310454475	-0.387074767854766	1	2.41000331968
p3	tumor	p3t	p3t1	bcFMLZ	1650	7.81818181818182	T cells CD8	tNK cells	tNK1	True	-78.6016800940979	-310.979698182657	True	400.381917295472	-1063.46868050613	True	457.057058111978	742.201214758822	False	NA	NA	False	NA	NA	22030	14	0.973969662584131	-1.15912267784225	-1.85895690998133	2	0
p1	tumor	p1t	p1t4	bcCFIK	1397	5.86972083035075	NK cells resting	tNK cells	tNK1	True	-58.2411872584657	-472.546135073362	True	-135.983497802431	-867.645231423457	True	290.838218190055	857.998699573065	False	NA	NA	False	NA	NA	14495	15	1.12882897511204	0.931322185000309	2.84470429340307	3	0
p1	tumor	p1t	p1t3	bcIIFO	1683	6.83303624480095	NK cells resting	tNK cells	tNK1	True	-90.9054165793631	-497.008197905639	True	355.088729211868	-1012.34027676637	True	348.835637769974	842.024311531258	False	NA	NA	False	NA	NA	12507	16	1.0788382251762	1.52000507493866	-0.762278384771899	4	0
p1	tumor	p1t	p1t2	bcGECZ	1408	6.96022727272727	NK cells activated	tNK cells	tNK2	True	-169.012103148102	-484.841556251087	True	425.730940556255	-955.749819969287	True	480.975935315703	883.057331448454	False	NA	NA	False	NA	NA	10835	17	0.983619564168084	1.5009126343335	-1.82760093292292	4	2.72598443235091
p1	tumor	p1t	p1t2	bcGQPX	1102	8.07622504537205	NK cells resting	tNK cells	tNK1	True	-67.4545218653704	-478.117495066467	True	123.296407749047	-932.474388670946	True	271.655953242332	885.467425694462	False	NA	NA	False	NA	NA	9919	18	0.98915695063566	0.392103997668156	3.5899831286997	3	2.66711072511562
p6	tumor	p6t	p6t2	bcHCKO	1652	13.6198547215496	T cells CD8	tNK cells	tNK2	True	-128.34628372587	-343.984442538367	True	481.129506767098	-1048.10905209062	True	548.546768724497	767.098487003545	False	NA	NA	False	NA	NA	47510	19	0.925271394977966	-0.50509265283691	-1.83460555156763	1	0
p3	tumor	p3t	p3t3	bcFKAM	2315	12.0086393088553	T cells CD4 memory resting	tNK cells	tNK2	True	-113.210885832982	-297.638088533216	True	408.665243806048	-995.399537396857	True	515.485647562738	760.840913221441	False	NA	NA	False	NA	NA	30003	20	0.846553351615531	0.0188421883190962	-3.45597586711939	1	1.99153869664059
p3	tumor	p3t	p3t3	bcHYRR	618	10.6796116504854	T cells CD4 memory resting	tNK cells	tNK1	True	-93.2438572345074	-2.00241075912153	True	608.673310976249	-951.181761475	True	639.600426679872	660.902560565913	False	NA	NA	False	NA	NA	29473	21	0.822677033877071	-0.669979678789249	0.0868451825708592	2	0
p3	tumor	p3t	p3t2	bcHYRR	331	9.96978851963746	T cells CD8	tNK cells	tNK2	True	16.9168520974236	-171.023620381977	True	534.084495504886	-1151.51362779963	True	517.1556919698	564.858124501338	False	NA	NA	False	NA	NA	25914	22	0.915568548201588	0.482702044447789	0.789580248984739	4	0
p4	tumor	p4t	p4t3	bcHXFQ	1946	6.26927029804728	NK cells resting	tNK cells	tNK1	True	-72.966193531817	-446.416532483287	True	156.242645350216	-950.228100255938	True	279.432650159616	838.558347465768	False	NA	NA	False	NA	NA	36364	23	1.07766369643003	-2.25047961095916	-1.54810521682794	3	0
p4	tumor	p4t	p4t1	bcIIYB	1103	6.61831368993654	NK cells resting	tNK cells	tNK1	True	-89.2319226134464	-318.757468761874	True	389.611522572379	-1060.27847039061	True	457.621200814233	722.497874990581	False	NA	NA	False	NA	NA	32445	24	0.966770524035572	-2.18708864072906	-1.57820544323023	2	2.21630271085134
p1	tumor	p1t	p1t2	bcHQSX	1922	6.8678459937565	T cells CD8	tNK cells	tNK1	True	3.55600954233653	-215.64043115893	True	405.824944575793	-1143.43866691896	True	499.466763665229	705.316411787362	False	NA	NA	False	NA	NA	11115	25	0.950729514991499	-1.12170252422439	-0.0109098323255337	2	0
p1	tumor	p1t	p1t1	bcBLLQ	795	4.52830188679245	NK cells resting	tNK cells	tNK1	True	9.32416350209326	-532.554924798497	True	129.141906359277	-889.890491140635	True	220.323828364389	842.157715082021	False	NA	NA	False	NA	NA	9474	26	1.07053044714181	0.913158623179326	3.52000512996618	3	0
p7	tumor	p7t	p7t2	bcGCBU	1334	10.119940029985	T cells CD8	tNK cells	tNK1	True	-59.7260788284956	-178.335384344904	True	461.812731361783	-1203.41082794523	True	577.137641821561	671.084850971133	False	NA	NA	False	NA	NA	52710	27	1.05660239897055	0.0218991317356916	0.0258456698984348	1	1.25069067453998
p7	tumor	p7t	p7t1	bcHIEQ	1443	9.35550935550935	T cells CD8	tNK cells	tNK1	True	60.0154564393131	-255.926590993639	True	447.927651383398	-1174.48071912131	True	508.955815219057	694.194083693813	False	NA	NA	False	NA	NA	50745	28	1.10515925611665	-0.232786091366878	0.333461844119474	4	1.78183092931998
p7	tumor	p7t	p7t1	bcGDRE	1377	5.80973129992738	NK cells activated	tNK cells	tNK2	True	-164.880505092458	-522.859381602528	True	355.270883074097	-949.037980548947	True	459.118263573424	916.923996569432	False	NA	NA	False	NA	NA	50127	29	1.04010067365289	1.88275286336792	-2.61703524669702	1	0
p5	tumor	p5t	p5t2	bcBBRE	1023	5.86510263929619	NK cells resting	tNK cells	tNK1	True	-68.6263924448542	-120.787440982983	True	532.9260490643	-1387.30420488435	True	555.569619197413	678.299581876373	False	NA	NA	False	NA	NA	40622	30	1.04406651053355	-0.563859569231143	-0.516639570948437	2	0
p3	tumor	p3t	p3t3	bcGFDD	1293	5.56844547563805	T cells CD4 memory resting	tNK cells	tNK2	True	-170.379132195849	-510.108872717934	True	402.57647163742	-974.82428978333	True	487.747456125407	851.574532379113	False	NA	NA	False	NA	NA	31721	31	1.07326246678315	0.637868968447575	-3.23733339389856	1	2.72351843182072
p3	tumor	p3t	p3t3	bcGKMS	1138	9.402460456942	T cells CD8	tNK cells	tNK1	True	-29.1571838960144	-155.914675592829	True	475.103865759146	-1166.94834988272	True	473.872426098942	707.369392450643	False	NA	NA	False	NA	NA	31418	32	0.963986480826629	-0.891795458594432	-0.171748913136081	1	2.65937167546998
p3	tumor	p3t	p3t3	bcGNQP	1182	7.7834179357022	T cells CD8	tNK cells	tNK1	True	-83.5715591145747	-345.551182093629	True	337.236550001799	-1014.67743656754	True	458.268207525511	744.111424498477	False	NA	NA	False	NA	NA	31225	33	1.10873693663619	-1.31109121660339	0.739184879455014	2	1.98822806733212
p3	tumor	p3t	p3t3	bcGRNG	1229	8.0553295362083	T cells follicular helper	tNK cells	tNK1	True	-122.093219756079	323.183008491553	True	904.065927675399	-1469.70302365042	True	549.252596571957	424.534417285445	False	NA	NA	False	NA	NA	30974	34	0.950571899393835	-0.596685009399524	-2.79077396472986	1	0
p3	tumor	p3t	p3t2	bcDICN	1083	7.84856879039704	NK cells resting	tNK cells	tNK1	True	-41.0109383920885	-647.160202361922	True	77.4173589836202	-919.734969602558	True	199.243924586883	912.978437624983	False	NA	NA	False	NA	NA	26967	35	1.07197190674568	-0.0548999629412798	2.57145848194067	3	0
p3	tumor	p3t	p3t1	bcBUCD	3315	10.9803921568627	T cells CD8	tNK cells	tNK1	True	47.2266024459961	310.908647145404	True	518.457846890511	-1193.06642238651	True	521.836979352473	252.431005066721	False	NA	NA	False	NA	NA	24813	36	0.923240078410311	-0.285545977154842	-2.67561802944239	1	2.878415701652
p3	tumor	p3t	p3t1	bcIHHC	2019	7.23130262506191	NK cells resting	tNK cells	tNK1	True	-73.2042845547702	-607.908511768338	True	197.42327702977	-963.51661550713	True	219.410129718679	919.143364526856	False	NA	NA	False	NA	NA	22936	37	1.15556902717184	0.438312379320988	2.30673160472815	3	0
p1	tumor	p1t	p1t4	bcIIXD	3017	7.82234007292012	NK cells resting	tNK cells	tNK1	True	-81.0880664299111	-264.433288033088	True	454.228302769618	-1096.68655100388	True	499.659525684808	726.497908855275	False	NA	NA	False	NA	NA	14178	38	1.08514282674025	1.59899732252015	-0.574217952099398	4	0
p1	tumor	p1t	p1t2	bcFOFQ	2295	6.66666666666667	NK cells resting	tNK cells	tNK1	True	-68.6738269264774	-575.54622016532	True	171.038747281642	-953.810727010621	True	235.726777491251	906.038827289664	False	NA	NA	False	NA	NA	11914	39	1.10988814042241	0.331279484232792	3.83347763935034	3	0
p1	tumor	p1t	p1t2	bcAHDA	876	8.33333333333333	NK cells resting	tNK cells	tNK1	True	-67.3552459775819	-618.631135166102	True	159.155698748609	-940.458673224273	True	176.949151099117	941.350485517805	False	NA	NA	False	NA	NA	11548	40	0.941403766295124	0.303988484343419	3.49910988727514	3	1.74756028543353
p1	tumor	p1t	p1t2	bcAVMS	1065	8.92018779342723	NK cells resting	tNK cells	tNK1	True	-95.213983964436	-460.720463000688	True	334.526936514843	-997.24803722969	True	359.176688934112	871.132978370118	False	NA	NA	False	NA	NA	10892	41	0.871334865224844	-0.910841467181316	-1.47208616813715	2	0
p1	tumor	p1t	p1t2	bcBZLM	1644	8.57664233576642	T cells CD8	tNK cells	tNK1	True	-48.2103978964064	-197.661605596089	True	460.924952731609	-1181.32455508821	True	541.42812109688	662.597860158476	False	NA	NA	False	NA	NA	10358	42	0.96440126874671	-1.69968238691436	-0.245090357270793	2	2.83434705676036
p1	tumor	p1t	p1t1	bcEHRF	1660	10.3614457831325	T cells CD4 memory resting	tNK cells	tNK1	True	-76.2982243835029	-149.73825638165	True	542.146165396889	-1214.70987325389	True	568.522046943529	607.489998107017	False	NA	NA	False	NA	NA	8030	43	0.875012657563813	-1.24937096456634	-1.90338835796411	2	0
p4	tumor	p4t	p4t2	bcDRME	394	1.52284263959391	NK cells resting	tNK cells	tNK1	True	-138.709138685204	12.8436268214766	True	-147.043326736168	-852.503787016659	True	547.367751888587	659.843734332507	False	NA	NA	False	NA	NA	34542	44	1.0936009778286	0.739646641215214	2.07460489192907	3	0
p3	tumor	p3t	p3t3	bcHYEV	2719	9.59911732254505	T cells CD4 memory resting	tNK cells	tNK2	True	-129.220491340977	-297.290268252479	True	471.726505360371	-1039.58259431379	True	532.88482675033	771.148218152425	False	NA	NA	False	NA	NA	31783	45	0.981476564630433	0.0573540904129835	-3.24456033786829	1	2.42542635454882
p3	tumor	p3t	p3t1	bcIIWP	2015	14.6898263027295	T cells CD8	tNK cells	tNK2	True	-151.547074006937	-386.736337254465	True	443.14129759976	-1022.74460748745	True	509.596601344056	823.907880692603	False	NA	NA	False	NA	NA	22285	46	1.00067540611427	0.116836396654973	-3.10832271656092	1	2.28019193327213
p3	tumor	p3t	p3t1	bcHVJG	2083	8.68939030244839	T cells CD4 memory resting	tNK cells	tNK1	True	-126.869873085393	-330.966816423133	True	443.989711945227	-1001.39288704009	True	618.268183209012	653.013492533797	False	NA	NA	False	NA	NA	22166	47	1.0170368749278	-0.0890052340422777	-3.19072208484705	1	1.50372249247455
p6	tumor	p6t	p6t1	bcHYWB	1787	10.1846670397314	NK cells activated	tNK cells	tNK2	True	-150.813593394174	-392.524449656378	True	466.314300161528	-1035.90232180489	True	514.336583588764	808.671748572619	False	NA	NA	False	NA	NA	44426	48	1.06666069167462	1.18327614446534	-2.99187908252771	1	0
p6	tumor	p6t	p6t1	bcFLTS	929	7.64262648008611	NK cells resting	tNK cells	tNK1	True	-94.9189836340596	-608.824628515603	True	263.582494191715	-954.267865739442	True	283.604535580479	915.278159506833	False	NA	NA	False	NA	NA	43331	49	1.14480959259432	-0.701507093707195	3.02270355144446	3	3.05543145983957
p5	tumor	p5t	p5t2	bcAWTI	1110	6.75675675675676	T cells CD4 memory resting	tNK cells	tNK1	True	-94.7458180842846	-204.999464712986	True	636.076073412775	-1312.15704459783	True	622.641347779373	703.523758140952	False	NA	NA	False	NA	NA	41763	50	0.971009054881034	-0.950816484490505	-0.577476508226947	2	2.20420070972461
p3	tumor	p3t	p3t3	bcAQNS	1363	7.0432868672047	NK cells resting	tNK cells	tNK1	True	-61.8949236502033	-666.961384314288	True	14.155697793388	-906.550111267529	True	150.748892865756	975.28906334352	False	NA	NA	False	NA	NA	28524	51	1.03430237781832	-0.830815704861751	2.08966436305945	3	1.91020451076135
p3	tumor	p3t	p3t3	bcGLSX	509	9.23379174852652	T cells regulatory (Tregs)	tNK cells	tNK2	True	-148.923580021876	-409.281136459439	True	403.499714999148	-969.47109088074	True	495.618593725179	845.579371004295	False	NA	NA	False	NA	NA	28427	52	0.99928208107627	-0.275077389875522	-2.63512287220056	1	0
p3	tumor	p3t	p3t2	bcGXDE	539	7.79220779220779	NK cells resting	tNK cells	tNK1	True	-100.492155604557	-250.675816814848	True	442.985499045353	-1142.31677642498	True	495.045179004159	725.716505713183	False	NA	NA	False	NA	NA	25011	53	1.01171879516084	-0.0566413722430376	0.269138538035794	4	3.02354010271295
p3	tumor	p3t	p3t1	bcEAWB	371	17.5202156334232	T cells CD4 memory resting	tNK cells	tNK1	True	-108.09224384299	-175.245114604727	True	376.143990708843	-973.833526117436	True	312.917122396003	865.319880923181	False	NA	NA	False	NA	NA	23913	54	0.737668298926127	0.0544651724900099	-2.54205260356958	1	0
p2	tumor	p2t	p2t2	bcCKVF	306	7.51633986928105	T cells CD8	tNK cells	tNK1	True	16.2655628676329	-113.101439338414	True	521.929585468902	-1431.51525949861	True	534.402046455364	679.634439081484	False	NA	NA	False	NA	NA	20402	55	0.889398013092308	1.67380735059632	0.27873011747305	4	0
p1	tumor	p1t	p1t4	bcGYDK	2854	8.09390329362298	NK cells activated	tNK cells	tNK1	True	-104.722046440036	-395.971356060589	True	372.920291937707	-988.807634907038	True	439.558281263643	809.712898578511	False	NA	NA	False	NA	NA	14179	56	0.949024274326752	1.02178069730652	-1.17793277582224	4	0
p1	tumor	p1t	p1t3	bcFCLJ	1906	6.45330535152151	T cells CD8	tNK cells	tNK1	True	-63.3808979036196	-504.472803986128	True	403.939301233368	-1170.3086904309	True	448.80029745171	722.654359514804	False	NA	NA	False	NA	NA	13770	57	1.10341589566955	-1.29923287252533	0.492955469283506	2	2.2321429635259
p1	tumor	p1t	p1t3	bcGBWR	1530	5.29411764705882	NK cells resting	tNK cells	tNK1	True	-76.4897680003651	-440.677617253701	True	-209.826896579286	-886.923023974664	True	196.8837376568	928.675191656493	False	NA	NA	False	NA	NA	13190	58	1.13171285223229	0.863972631892094	2.74189295688574	3	0
p1	tumor	p1t	p1t2	bcGQMF	1230	9.1869918699187	T cells follicular helper	tNK cells	tNK1	True	-92.8172996853939	-348.199134672181	True	381.404416140625	-995.763160238255	True	456.92817560074	767.462019656074	False	NA	NA	False	NA	NA	11922	59	1.11240191743837	0.295666364630589	-1.00173351844843	4	0
p1	tumor	p1t	p1t2	bcGYFB	1542	6.16083009079118	T cells CD8	tNK cells	tNK2	True	-128.451159949865	-350.896472055758	True	433.619348277734	-978.174138785031	True	511.928805557542	816.942044708328	False	NA	NA	False	NA	NA	11491	60	1.10749746412975	1.94744631429566	-0.768884814587191	4	2.47365167749613
p1	tumor	p1t	p1t1	bcHFIX	949	11.9072708113804	NK cells resting	tNK cells	tNK1	True	-63.8518218241834	-597.003771934103	True	127.736210588197	-937.784455280248	True	306.691781331819	858.575893191873	False	NA	NA	False	NA	NA	8383	61	0.948186548976924	0.646326629122624	3.35319199481909	3	0
p1	tumor	p1t	p1t1	bcDMAP	820	8.17073170731707	T cells regulatory (Tregs)	tNK cells	tNK2	True	-154.705319530897	-437.279686248539	True	405.219565515802	-966.588400563949	True	499.560082098909	833.589007523156	False	NA	NA	False	NA	NA	8157	62	1.11210476502216	1.76577588697327	-0.332987583485202	4	0
p7	tumor	p7t	p7t2	bcDYHS	728	8.24175824175824	T cells CD8	tNK cells	tNK1	True	-98.6159666549169	-206.70992558383	True	504.28925602745	-1214.04301364973	True	558.211287667074	671.61195909321	False	NA	NA	False	NA	NA	54172	63	1.012682566947	0.430584756335148	0.058956944140836	4	2.64963968550368
p7	tumor	p7t	p7t2	bcBXWE	1228	4.96742671009772	NK cells resting	tNK cells	tNK2	True	-164.368262943613	-457.196551974206	True	372.678571901103	-957.947165172716	True	478.544554292425	874.97835630075	False	NA	NA	False	NA	NA	52514	64	1.26351666029919	1.98835584302796	-0.712399996128634	4	1.17198670451792
p7	tumor	p7t	p7t1	bcCYAK	3292	8.77885783718104	Eosinophils	tNK cells	tNK2	True	-134.721687470159	-368.794142289849	True	410.034089514749	-1022.30435190898	True	494.665710349397	831.861630476842	False	NA	NA	False	NA	NA	49897	65	0.931895947297122	1.07695182939423	-1.20601216634806	4	1.82185466249602
p4	tumor	p4t	p4t2	bcESMA	412	7.28155339805825	NK cells activated	tNK cells	tNK1	True	264.170722035948	194.777942741603	True	528.044572023525	-1106.21490781123	True	632.818518994233	512.865520217126	False	NA	NA	False	NA	NA	34485	66	1.00509416267143	-0.0643479249869494	-0.732090986576632	3	0
p3	tumor	p3t	p3t3	bcHLJC	2196	7.83242258652095	NK cells resting	tNK cells	tNK2	True	-159.573520904725	-462.38541082252	True	384.795106694719	-951.761443793128	True	495.928114113527	847.504478999453	False	NA	NA	False	NA	NA	30676	67	1.07921612675445	0.850222913226018	-2.52112064441736	1	2.09825044654039
p3	tumor	p3t	p3t3	bcAEYF	1109	5.77096483318305	T cells follicular helper	tNK cells	tNK2	True	-129.692848219126	-334.125845338339	True	485.769247412761	-1029.22480821051	True	635.045079089015	723.521334902438	False	NA	NA	False	NA	NA	30515	68	1.17583583520822	0.328894404372105	-2.65366849979456	1	0
p3	tumor	p3t	p3t3	bcAXRG	1734	10.2076124567474	T cells follicular helper	tNK cells	tNK2	True	-137.763256178641	-363.245875511214	True	423.871955713725	-980.169668370498	True	491.165044187979	826.00389349472	False	NA	NA	False	NA	NA	29274	69	0.904550290411103	0.0727809049691053	-3.38141117176111	1	2.5750424074406
p3	tumor	p3t	p3t3	bcEPYQ	385	5.97402597402597	T cells CD4 memory resting	tNK cells	tNK1	True	-75.9465071326131	-122.672948681622	True	82.9888038366675	-1132.9834362304	True	679.12556482949	466.094730875572	False	NA	NA	False	NA	NA	28751	70	1.14934080423497	0.333531288107762	1.40049328723852	3	0
p3	tumor	p3t	p3t2	bcEELP	2675	10.3177570093458	NK cells activated	tNK cells	tNK2	True	-164.995012266029	-513.452926851262	True	281.591583195973	-929.021841488534	True	433.811303983011	915.229931716976	False	NA	NA	False	NA	NA	26954	71	1.06195208806891	1.23470589300049	-2.90797529300745	1	2.53394720956421
p3	tumor	p3t	p3t2	bcIDEZ	1563	9.021113243762	NK cells resting	tNK cells	tNK2	True	-107.879319006591	-568.658219356107	True	369.993124821587	-967.862302829119	True	381.806549773152	886.276584418999	False	NA	NA	False	NA	NA	26084	72	1.10279344160251	-0.654015140930286	2.91031970897619	3	1.08957493455348
p3	tumor	p3t	p3t2	bcBJHQ	918	9.3681917211329	T cells CD8	tNK cells	tNK1	True	-93.8541999949616	-356.835835207167	True	231.768343373498	-1115.89433329482	True	489.870661532519	706.529420787438	False	NA	NA	False	NA	NA	25838	73	1.04233146462359	-1.00046751121627	2.11607041278784	2	1.60034461194445
p3	tumor	p3t	p3t2	bcCBCW	453	7.50551876379691	NK cells resting	tNK cells	tNK1	True	-54.7136634481613	-680.129291870625	True	48.7891533185306	-925.91247829991	True	147.730788185679	978.137042055903	False	NA	NA	False	NA	NA	25735	74	0.978011012596868	-0.887605579892269	2.01038088718359	3	2.43001306555765
p3	tumor	p3t	p3t2	bcGACU	1247	7.29751403368083	NK cells resting	tNK cells	tNK1	True	-75.6078243625283	-475.018646783859	True	273.047007506471	-1003.5280630403	True	240.871588413533	897.218926352896	False	NA	NA	False	NA	NA	25717	75	1.04920475763924	0.650268284281621	2.65713276782934	3	0
p3	tumor	p3t	p3t1	bcDLJJ	951	7.36067297581493	T cells CD8	tNK cells	tNK2	True	-136.412725865852	-382.260416104913	True	409.967588753519	-1001.9742186627	True	501.992041533623	838.579771516041	False	NA	NA	False	NA	NA	24830	76	0.973813353408314	0.691951958140263	-3.0604702003866	1	3.23245391018019
p3	tumor	p3t	p3t1	bcCANU	1432	6.49441340782123	NK cells resting	tNK cells	tNK1	True	-68.9309023524541	-674.977773148363	True	95.2615112617222	-915.892971982803	True	141.170013507063	974.942302895622	False	NA	NA	False	NA	NA	23628	77	1.13331340788472	-0.120471628705135	2.63129749217932	3	1.76396769669653
p3	tumor	p3t	p3t1	bcEUCY	1065	9.57746478873239	NK cells resting	tNK cells	tNK1	True	-66.5005024019482	-315.08217736183	True	225.812591453782	-968.543016944914	True	465.745484689717	720.076657123841	False	NA	NA	False	NA	NA	23473	78	1.11616361042899	-0.350751752356162	2.00968613544409	3	0
p3	tumor	p3t	p3t1	bcHXSU	4499	10.2467214936653	T cells follicular helper	tNK cells	tNK2	True	-127.796873334476	-299.239466884374	True	524.371370824194	-1082.55903083336	True	574.345385819128	723.723816949521	False	NA	NA	False	NA	NA	23200	79	1.01632774208493	0.510360983809361	-3.13641057094629	1	0.511226658553684
p3	tumor	p3t	p3t1	bcCQWX	1902	9.20084121976866	NK cells activated	tNK cells	tNK2	True	-174.278903342894	-495.008683089806	True	385.080854524124	-963.664961704154	True	431.685437366095	909.010357456559	False	NA	NA	False	NA	NA	23171	80	0.923810640805765	0.909325210055241	-2.95454678615625	1	3.71953489576173
p3	tumor	p3t	p3t1	bcIIEQ	1485	6.5993265993266	NK cells resting	tNK cells	tNK1	True	-62.6449889602149	-635.646299598816	True	51.0951626123871	-914.252701734755	True	167.408802883855	950.197688667217	False	NA	NA	False	NA	NA	21695	81	0.975641840058114	-0.557138236561885	3.44021143833105	3	3.17834435407937
p2	tumor	p2t	p2t2	bcGKTI	4337	5.3032049804012	T cells CD4 memory resting	tNK cells	tNK1	True	-36.3101320214537	101.824287420976	True	593.175254069074	-1279.36958846698	True	680.582907678081	436.003182677427	False	NA	NA	False	NA	NA	20492	82	0.969880647859763	-1.10829541305648	-1.95692727645929	2	0.548212274323532
p1	tumor	p1t	p1t4	bcGKMR	1188	11.7003367003367	T cells CD4 memory resting	tNK cells	tNK1	True	-83.0847495548648	-332.527874045205	True	452.923840012295	-1100.72422367146	True	684.479058667786	463.53460234869	False	NA	NA	False	NA	NA	15019	83	0.891098871191445	0.815693465670476	-1.3809601434141	4	0
p1	tumor	p1t	p1t3	bcFQKI	1695	7.13864306784661	T cells CD4 memory resting	tNK cells	tNK1	True	-9.21985775163131	-87.3999065286634	True	563.768418468708	-1280.85545165402	True	582.384479499762	616.971632942712	False	NA	NA	False	NA	NA	13070	84	0.921538379715814	-1.29941651443588	-0.719201422539309	2	1.16662955437355
