,E3,E1,T2,T9,T4,S,T10,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,CD8_2,Treg1,Treg2,CD8_1,CD8_6,N1,CD4_4,T3,CD45_1,T12,T5,T8,T11,E2,DC1,M10,Mo1,N7,N6,T7
DC2,0,3,0,0,1,0,1,19,0,0,0,0,0,0,1,0,0,0,3,1,0,4,1,1,0,2,0,0,1,1,0,2,6,0,27,17,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,3,0,0,2,5,0,4,1,2,0,0,10,9,13,1
M6,0,23,0,0,2,1,1,2,1,0,1,2,0,30,1,0,0,0,6,10,0,7,4,0,0,1,0,0,0,6,0,61,10,0,564,88,0,0,0,0,0,0,23,0,0,1,0,8,2,0,2,1,0,12,0,1,13,37,8,17,63,10,2,1,114,42,37,4
M13,0,23,0,0,0,17,1,31,0,0,0,0,1,1,176,0,0,0,5,0,0,29,0,0,0,2,0,0,0,7,0,2,2,0,104,15,0,0,0,0,0,8,27,0,0,0,1,10,0,0,2,2,9,9,0,0,20,16,1,1,5,11,0,0,68,31,30,4
M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,2,0,0,1
Mo8,0,6,0,0,0,0,0,69,0,0,1,0,0,0,0,0,4,0,3,3,0,0,26,14,0,0,0,0,0,0,0,1,2,0,5,40,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,2,23,0,14,0,14,4,13,10,1,4,4
M12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,2,0,0,0,0,0,0,0,0,2,0,3,23,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,4,0,3,0,0,9,0,0,2
M2,0,108,0,0,6,0,26,304,2,1,2,1,3,6,5,0,3,1,212,69,0,36,152,28,0,23,0,0,15,1,0,49,77,4,873,636,0,5,10,1,0,9,101,5,0,6,7,64,13,2,16,3,15,57,0,1,85,246,11,118,80,92,13,30,573,105,241,66
M11,0,108,2,1,29,2,9,380,1,0,3,3,1,10,0,0,3,1,69,228,0,8,64,9,0,8,2,0,1,5,0,185,42,1,2007,302,0,5,2,0,0,8,70,10,0,33,7,32,12,6,11,1,12,19,3,22,43,271,84,59,114,58,13,11,676,59,48,58
CD4_3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
Mo3,0,134,0,9,2,7,78,51,1,2,0,4,4,7,29,0,0,0,36,8,0,556,6,5,1,42,1,2,61,20,0,19,53,0,674,499,2,7,6,0,0,30,125,0,0,1,1,69,12,1,26,4,27,248,0,0,80,78,2,67,41,101,1,4,1047,983,665,12
M3,0,386,1,6,0,0,42,554,4,1,17,3,1,4,0,3,26,5,152,64,0,6,1698,243,1,88,4,0,44,0,0,8,277,11,218,2918,0,31,46,0,0,16,214,11,1,34,12,103,30,7,47,10,13,85,21,0,112,1501,19,601,51,351,65,179,576,48,341,289
Mo4,0,82,1,1,1,0,19,105,0,0,4,4,1,0,0,0,14,2,28,9,0,5,243,144,0,14,0,0,19,1,0,10,156,7,136,688,0,8,14,0,1,7,59,2,0,9,8,26,7,5,11,3,10,47,2,0,45,250,7,120,15,64,34,70,300,18,174,41
M9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,11,5,4,1
M8,0,52,0,0,0,0,20,48,0,0,0,3,2,1,2,0,0,0,23,8,1,42,88,14,0,102,0,0,37,1,1,2,80,4,196,1120,1,10,9,0,0,20,119,0,0,5,2,81,12,7,34,1,17,78,2,0,62,135,6,128,19,75,10,22,368,107,270,28
NK2,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,1,4,0,1,1,0,3,1
N4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,1,1,0,0,0,6,4,5,0
N5,0,45,0,4,0,1,40,22,0,0,1,0,1,0,0,1,0,0,15,1,0,61,44,19,0,37,0,2,130,4,0,1,69,0,127,938,1,10,11,0,1,14,50,0,0,0,5,26,6,0,17,1,9,122,2,0,49,72,0,93,25,52,6,8,235,190,406,19
N2,0,31,0,0,3,1,11,2,0,0,1,0,1,6,7,0,0,0,1,5,0,20,0,1,0,1,0,0,4,14,1,36,11,0,293,79,1,1,0,0,0,5,17,1,0,0,0,8,1,2,6,0,2,67,0,0,13,27,2,12,18,9,1,1,180,94,82,5
N3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,2,13,24,0
T6,0,126,0,1,62,5,50,75,3,1,4,8,2,61,2,0,1,0,49,185,0,19,8,10,0,2,0,0,1,36,1,1218,49,0,4848,147,0,2,0,0,0,4,80,0,0,19,2,40,15,6,14,4,8,77,3,32,40,610,108,55,590,48,9,3,1383,389,257,38
Mo2,2,295,1,5,1,3,49,68,3,3,4,9,6,10,2,0,2,2,77,42,0,53,277,156,0,80,1,2,69,11,2,49,590,4,827,1593,3,35,42,0,1,25,211,5,1,26,15,195,37,7,57,11,27,166,2,0,139,507,15,214,89,239,25,61,1615,228,590,81
Mo7,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,11,7,0,4,0,0,0,0,0,0,4,0,11,48,0,4,2,0,0,0,5,1,0,1,0,2,0,0,1,0,1,3,0,0,2,14,0,9,1,9,0,4,14,0,10,3
M1,0,1864,0,30,499,50,416,847,24,5,45,82,27,564,104,1,5,3,873,2007,3,674,218,136,20,196,0,9,127,293,2,4848,827,11,53180,5768,11,48,12,0,3,155,1291,63,1,236,30,802,220,68,321,67,159,1045,40,213,865,4183,843,1125,3645,835,98,114,17291,3739,2994,511
M7,0,1605,7,37,13,17,363,1346,7,12,30,55,17,88,15,7,40,23,636,302,1,499,2918,688,2,1120,6,6,938,79,1,147,1593,48,5768,24414,24,285,231,5,14,239,1378,21,2,142,102,928,247,61,432,38,227,1429,38,0,982,4197,86,3316,509,1635,195,455,7202,1613,4448,1024
M4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,3,0,11,24,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,2,0,0,1,0,0,3,1,0,0,0,15,3,0,0
Mo5,0,53,0,2,0,0,2,5,0,1,0,3,0,0,0,0,0,0,5,5,0,7,31,8,0,10,0,0,10,1,0,2,35,4,48,285,0,38,1,0,0,3,15,0,0,1,1,18,4,2,5,0,4,12,0,0,13,72,1,28,5,33,2,7,193,17,45,12
Mo6,0,27,0,0,0,0,1,6,0,1,2,0,0,0,0,0,1,0,10,2,0,6,46,14,0,9,0,0,11,0,0,0,42,2,12,231,0,1,18,0,0,0,11,0,0,1,1,13,1,0,2,0,0,7,0,0,2,63,0,36,2,14,1,3,55,12,35,12
B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
CD4_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,11,1,1,0
NKT,0,46,0,2,0,1,6,6,0,0,0,0,1,0,8,0,0,2,9,8,0,30,16,7,0,20,0,0,14,5,0,4,25,0,155,239,0,3,0,0,0,12,67,1,0,4,2,34,10,3,22,0,5,28,1,0,40,42,1,37,14,15,8,2,213,45,104,7
NK1,1,357,2,9,4,5,64,48,2,4,1,3,2,23,27,0,3,0,101,70,1,125,214,59,0,119,1,0,50,17,1,80,211,5,1291,1378,1,15,11,0,0,67,442,2,2,24,17,184,55,6,59,7,35,173,4,2,196,407,20,257,131,222,20,35,1719,294,591,80
CD8_5,0,13,0,0,2,0,0,15,0,0,0,0,0,0,0,0,1,0,5,10,0,0,11,2,0,0,2,0,0,1,0,0,5,1,63,21,0,0,0,0,0,1,2,2,0,0,1,3,1,1,2,0,0,1,1,0,6,16,1,2,7,4,0,0,56,7,2,5
CD8_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,8,0,1,0
CD45_2,0,36,0,0,1,0,2,148,2,0,0,3,0,1,0,0,0,0,6,33,0,1,34,9,0,5,0,0,0,0,0,19,26,1,236,142,0,1,1,0,0,4,24,0,0,16,2,10,3,1,8,0,7,3,2,0,17,74,13,20,14,32,4,3,221,9,11,27
B1,0,13,0,0,0,0,2,63,0,1,0,2,0,0,1,0,0,0,7,7,0,1,12,8,0,2,0,0,5,0,0,2,15,0,30,102,0,1,1,0,0,2,17,1,0,2,4,11,2,0,2,1,4,8,1,0,8,20,0,10,3,19,2,9,54,13,24,13
CD4_1,2,215,0,2,1,0,30,18,0,2,8,4,1,8,10,0,0,0,64,32,0,69,103,26,1,81,0,1,26,8,0,40,195,2,802,928,3,18,13,0,0,34,184,3,0,10,11,226,33,7,76,15,21,111,8,0,111,217,13,154,81,169,17,31,1196,219,404,51
CD8_2,0,67,1,1,1,0,7,24,2,2,2,3,0,2,0,0,0,0,13,12,0,12,30,7,0,12,0,0,6,1,0,15,37,0,220,247,0,4,1,0,0,10,55,1,0,3,2,33,14,0,13,1,7,33,1,1,24,55,4,46,21,61,5,3,289,61,95,13
Treg1,0,20,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,6,0,1,7,5,0,7,0,0,0,2,0,6,7,0,68,61,0,2,0,0,0,3,6,1,0,1,0,7,0,2,6,0,1,2,1,0,3,11,1,5,6,3,3,1,96,10,11,2
Treg2,0,88,0,2,0,3,15,20,0,0,1,1,1,2,2,0,0,0,16,11,0,26,47,11,0,34,0,0,17,6,0,14,57,1,321,432,0,5,2,0,0,22,59,2,0,8,2,76,13,6,54,5,8,54,5,0,37,69,5,67,36,66,8,10,444,74,166,21
CD8_1,0,17,0,0,0,1,2,0,0,0,2,0,0,1,2,0,0,0,3,1,0,4,10,3,0,1,0,0,1,0,0,4,11,0,67,38,0,0,0,0,1,0,7,0,0,0,1,15,1,0,5,8,2,12,1,0,5,16,1,8,3,7,0,1,91,13,20,4
CD8_6,0,29,0,0,0,0,8,45,0,0,0,8,0,0,9,0,1,0,15,12,0,27,13,10,0,17,0,0,9,2,0,8,27,1,159,227,2,4,0,0,0,5,35,0,0,7,4,21,7,1,8,2,8,23,0,1,32,39,3,27,4,32,1,4,211,57,86,13
N1,0,228,0,6,0,9,173,28,0,3,4,4,3,12,9,0,1,1,57,19,0,248,85,47,0,78,0,4,122,67,12,77,166,3,1045,1429,2,12,7,0,0,28,173,1,0,3,8,111,33,2,54,12,23,796,0,0,115,302,8,189,148,181,10,25,1238,963,1919,34
CD4_4,0,20,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,2,0,2,0,0,2,0,0,3,2,0,40,38,0,0,0,0,0,1,4,1,0,2,1,8,1,1,5,1,0,0,6,0,4,25,3,7,4,8,1,2,66,4,1,6
T3,0,2,0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,32,0,0,213,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,6,3,25,11,0,17,6,1,1,29,8,2,2
CD45_1,1,241,1,1,1,6,29,134,0,1,1,5,2,13,20,0,2,0,85,43,0,80,112,45,1,62,0,2,49,13,0,40,139,2,865,982,1,13,2,0,1,40,196,6,2,17,8,111,24,3,37,5,32,115,4,3,154,221,13,138,67,122,21,34,1182,221,370,68
T12,0,728,0,5,96,9,225,710,10,4,11,15,5,37,16,4,23,6,246,271,0,78,1501,250,3,135,6,0,72,27,1,610,507,14,4183,4197,0,72,63,0,1,42,407,16,2,74,20,217,55,11,69,16,39,302,25,25,221,4830,284,755,726,639,78,220,2627,566,1066,501
T5,0,39,0,1,25,3,17,54,1,0,1,0,0,8,1,0,0,0,11,84,0,2,19,7,0,6,0,0,0,2,0,108,15,0,843,86,0,1,0,0,0,1,20,1,0,13,0,13,4,1,5,1,3,8,3,11,13,284,82,15,65,20,7,6,280,44,39,21
T8,0,241,2,15,5,3,51,240,1,1,7,10,4,17,1,0,14,4,118,59,0,67,601,120,0,128,4,1,93,12,0,55,214,9,1125,3316,3,28,36,1,1,37,257,2,0,20,10,154,46,5,67,8,27,189,7,0,138,755,15,666,126,269,42,81,1137,261,633,194
T11,0,108,0,3,41,2,100,29,2,1,3,5,1,63,5,0,0,0,80,114,0,41,51,15,1,19,1,1,25,18,1,590,89,1,3645,509,1,5,2,0,0,14,131,7,0,14,3,81,21,6,36,3,4,148,4,17,67,726,65,126,526,49,14,18,1509,465,596,36
E2,2,489,1,4,0,3,50,192,1,2,7,7,2,10,11,3,14,3,92,58,0,101,351,64,0,75,4,0,52,9,0,48,239,9,835,1635,0,33,14,0,1,15,222,4,1,32,19,169,61,3,66,7,32,181,8,6,122,639,20,269,49,2246,23,69,1518,366,756,223
DC1,0,21,0,1,0,0,2,265,0,0,0,0,0,2,0,0,4,0,13,13,0,1,65,34,0,10,0,0,6,1,0,9,25,0,98,195,0,2,1,0,0,8,20,0,1,4,2,17,5,3,8,0,1,10,1,1,21,78,7,42,14,23,32,13,109,13,36,21
M10,1,69,0,0,1,0,6,203,0,1,3,2,0,1,0,0,13,0,30,11,0,4,179,70,0,22,1,0,8,1,0,3,61,4,114,455,0,7,3,0,0,2,35,0,0,3,9,31,3,1,10,1,4,25,2,1,34,220,6,81,18,69,13,52,176,19,79,55
Mo1,4,3300,4,46,71,59,355,466,15,13,39,54,10,114,68,2,10,9,573,676,4,1047,576,300,11,368,1,6,235,180,2,1383,1615,14,17291,7202,15,193,55,0,11,213,1719,56,8,221,54,1196,289,96,444,91,211,1238,66,29,1182,2627,280,1137,1509,1518,109,176,24464,3329,3596,564
N7,0,478,1,9,18,22,370,129,2,4,7,10,9,42,31,0,1,0,105,59,0,983,48,18,5,107,0,4,190,94,13,389,228,0,3739,1613,3,17,12,0,1,45,294,7,0,9,13,219,61,10,74,13,57,963,4,8,221,566,44,261,465,366,13,19,3329,3498,3442,50
N6,0,734,0,11,10,16,713,200,2,6,21,15,13,37,30,0,4,0,241,48,1,665,341,174,4,270,3,5,406,82,24,257,590,10,2994,4448,0,45,35,2,1,104,591,2,1,11,24,404,95,11,166,20,86,1919,1,2,370,1066,39,633,596,756,36,79,3596,3442,8194,134
T7,0,165,1,3,1,0,18,202,3,0,3,6,1,4,4,1,4,2,66,58,0,12,289,41,1,28,1,0,19,5,0,38,81,3,511,1024,0,12,12,0,0,7,80,5,0,27,13,51,13,2,21,4,13,34,6,2,68,501,21,194,36,223,21,55,564,50,134,210
